"","method","variable","value","diff"
"1","true","Dem"," 0.4666"," 0.0000"
"2","hd.ord","Dem"," 0.4669"," 0.0003"
"3","hd.norm.orig","Dem"," 0.4674"," 0.0008"
"4","amelia","Dem"," 0.4667"," 0.0001"
"5","mice","Dem"," 0.4667"," 0.0001"
"6","na.omit","Dem"," 0.4442","-0.0224"
"7","true","inc"," 3.0927"," 0.0000"
"8","hd.ord","inc"," 3.0845","-0.0082"
"9","hd.norm.orig","inc"," 3.0779","-0.0148"
"10","amelia","inc"," 3.0924","-0.0003"
"11","mice","inc"," 3.0934"," 0.0007"
"12","na.omit","inc"," 3.0227","-0.0700"
"13","true","age","37.9252"," 0.0000"
"14","hd.ord","age","37.5859","-0.3393"
"15","hd.norm.orig","age","37.5134","-0.4118"
"16","amelia","age","37.9256"," 0.0004"
"17","mice","age","37.9301"," 0.0049"
"18","na.omit","age","37.2528","-0.6724"
"19","true","Female"," 0.4666"," 0.0000"
"20","hd.ord","Female"," 0.4663","-0.0003"
"21","hd.norm.orig","Female"," 0.4658","-0.0008"
"22","amelia","Female"," 0.4667"," 0.0001"
"23","mice","Female"," 0.4668"," 0.0002"
"24","na.omit","Female"," 0.4416","-0.0250"
"25","true","interest"," 3.2164"," 0.0000"
"26","hd.ord","interest"," 3.1963","-0.0201"
"27","hd.norm.orig","interest"," 3.1940","-0.0224"
"28","amelia","interest"," 3.2161","-0.0003"
"29","mice","interest"," 3.2159","-0.0005"
"30","na.omit","interest"," 3.1705","-0.0459"
