"","method","variable","value","diff"
"1","true","Dem"," 0.4320"," 0.0000"
"2","hd.ord","Dem"," 0.4326"," 0.0006"
"3","hd.norm.orig","Dem"," 0.4326"," 0.0006"
"4","amelia","Dem"," 0.4320"," 0.0000"
"5","mice","Dem"," 0.4320"," 0.0000"
"6","na.omit","Dem"," 0.4163","-0.0157"
"7","true","Ind"," 0.2820"," 0.0000"
"8","hd.ord","Ind"," 0.2821"," 0.0001"
"9","hd.norm.orig","Ind"," 0.2821"," 0.0001"
"10","amelia","Ind"," 0.2820"," 0.0000"
"11","mice","Ind"," 0.2819","-0.0001"
"12","na.omit","Ind"," 0.2719","-0.0101"
"13","true","Black"," 0.1070"," 0.0000"
"14","hd.ord","Black"," 0.1072"," 0.0002"
"15","hd.norm.orig","Black"," 0.1071"," 0.0001"
"16","amelia","Black"," 0.1070"," 0.0000"
"17","mice","Black"," 0.1070"," 0.0000"
"18","na.omit","Black"," 0.0926","-0.0144"
"19","true","Hisp"," 0.0910"," 0.0000"
"20","hd.ord","Hisp"," 0.0911"," 0.0001"
"21","hd.norm.orig","Hisp"," 0.0910"," 0.0000"
"22","amelia","Hisp"," 0.0910"," 0.0000"
"23","mice","Hisp"," 0.0910"," 0.0000"
"24","na.omit","Hisp"," 0.0756","-0.0154"
"25","true","Empl"," 0.4260"," 0.0000"
"26","hd.ord","Empl"," 0.4263"," 0.0003"
"27","hd.norm.orig","Empl"," 0.4265"," 0.0005"
"28","amelia","Empl"," 0.4261"," 0.0001"
"29","mice","Empl"," 0.4261"," 0.0001"
"30","na.omit","Empl"," 0.3958","-0.0302"
"31","true","Stud"," 0.0490"," 0.0000"
"32","hd.ord","Stud"," 0.0493"," 0.0003"
"33","hd.norm.orig","Stud"," 0.0491"," 0.0001"
"34","amelia","Stud"," 0.0489","-0.0001"
"35","mice","Stud"," 0.0491"," 0.0001"
"36","na.omit","Stud"," 0.0448","-0.0042"
"37","true","Male"," 0.4630"," 0.0000"
"38","hd.ord","Male"," 0.4630"," 0.0000"
"39","hd.norm.orig","Male"," 0.4627","-0.0003"
"40","amelia","Male"," 0.4629","-0.0001"
"41","mice","Male"," 0.4630"," 0.0000"
"42","na.omit","Male"," 0.4273","-0.0357"
"43","true","inc"," 6.3840"," 0.0000"
"44","hd.ord","inc"," 6.3795","-0.0045"
"45","hd.norm.orig","inc"," 6.3723","-0.0117"
"46","amelia","inc"," 6.3832","-0.0008"
"47","mice","inc"," 6.3836","-0.0004"
"48","na.omit","inc"," 6.1499","-0.2341"
"49","true","age","49.4010"," 0.0000"
"50","hd.ord","age","49.3646","-0.0364"
"51","hd.norm.orig","age","49.3082","-0.0928"
"52","amelia","age","49.3981","-0.0029"
"53","mice","age","49.3979","-0.0031"
"54","na.omit","age","48.9935","-0.4075"
"55","true","interest"," 3.1920"," 0.0000"
"56","hd.ord","interest"," 3.1903","-0.0017"
"57","hd.norm.orig","interest"," 3.1877","-0.0043"
"58","amelia","interest"," 3.1923"," 0.0003"
"59","mice","interest"," 3.1922"," 0.0002"
"60","na.omit","interest"," 3.1297","-0.0623"
