"","method","variable","value","diff"
"1","true","Dem"," 0.4666"," 0.0000"
"2","hd.ord","Dem"," 0.4674"," 0.0008"
"3","hd.norm.orig","Dem"," 0.4686"," 0.0020"
"4","amelia","Dem"," 0.4669"," 0.0003"
"5","mice","Dem"," 0.4667"," 0.0001"
"6","na.omit","Dem"," 0.2363","-0.2303"
"7","true","inc"," 3.0927"," 0.0000"
"8","hd.ord","inc"," 3.0466","-0.0461"
"9","hd.norm.orig","inc"," 3.0245","-0.0682"
"10","amelia","inc"," 3.0941"," 0.0014"
"11","mice","inc"," 3.0973"," 0.0046"
"12","na.omit","inc"," 2.4208","-0.6719"
"13","true","age","37.9252"," 0.0000"
"14","hd.ord","age","36.5063","-1.4189"
"15","hd.norm.orig","age","36.3438","-1.5814"
"16","amelia","age","37.9287"," 0.0035"
"17","mice","age","37.9398"," 0.0146"
"18","na.omit","age","31.6958","-6.2294"
"19","true","Female"," 0.4666"," 0.0000"
"20","hd.ord","Female"," 0.4619","-0.0047"
"21","hd.norm.orig","Female"," 0.4600","-0.0066"
"22","amelia","Female"," 0.4663","-0.0003"
"23","mice","Female"," 0.4666"," 0.0000"
"24","na.omit","Female"," 0.2168","-0.2498"
"25","true","interest"," 3.2164"," 0.0000"
"26","hd.ord","interest"," 3.1362","-0.0802"
"27","hd.norm.orig","interest"," 3.1223","-0.0941"
"28","amelia","interest"," 3.2150","-0.0014"
"29","mice","interest"," 3.2147","-0.0017"
"30","na.omit","interest"," 2.7280","-0.4884"
